Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,0,SAVED healthy on LEFT side,healthy,Doctor,zombie,Police,save,left,1,690,N,N
2,0,SQUISHED zombie on LEFT side,zombie,Child,healthy,Militant,squish,left,1,685,N,N
3,0,SQUISHED zombie on LEFT side,zombie,Doctor,corpse,Police,squish,left,1,680,N,N
4,0,SQUISHED zombie on LEFT side,zombie,Doctor,zombie,Child,squish,left,1,675,N,N
5,0,SQUISHED corpse on RIGHT side,corpse,Civilian,corpse,Child,squish,right,1,670,N,N
6,0,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Child|Child,healthy,Civilian,squish,left,1,665,N,N
7,0,SQUISHED corpse on RIGHT side,healthy,Police,corpse,Doctor,squish,right,1,660,N,N
8,0,"SCRAM - Left: injured|zombie, Right: healthy",injured|zombie,Civilian|Civilian,healthy,Civilian,scram,both,1,660,N,N
9,0,"SCRAM - Left: injured|zombie, Right: healthy",injured|zombie,Civilian|Civilian,healthy,Civilian,scram,both,0,540,N,N
10,0,SQUISHED zombie on LEFT side,zombie,Doctor,healthy,Child,squish,left,0,535,N,N
11,0,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Child|Civilian,zombie,Child,squish,left,0,530,N,N
12,0,SAVED healthy on LEFT side,healthy,Civilian,healthy,Child,save,left,1,500,N,N
13,0,SAVED healthy|zombie on LEFT side,healthy|zombie,Civilian|Civilian,healthy,Civilian,save,left,2,470,N,N
14,0,SAVED healthy on LEFT side,healthy,Militant,zombie,Civilian,save,left,3,440,N,N
15,0,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Child|Civilian,corpse,Child,squish,left,3,435,N,N
16,0,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Child|Doctor,zombie|healthy,Police|Civilian,squish,left,3,430,N,N
17,0,SQUISHED zombie on RIGHT side,healthy|corpse,Civilian|Doctor,zombie,Civilian,squish,right,3,425,N,N
18,0,SAVED healthy on LEFT side,healthy,Doctor,zombie,Civilian,save,left,4,395,N,N
19,0,SAVED healthy on RIGHT side,injured,Civilian,healthy,Police,save,right,5,365,N,N
20,0,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,6,335,N,N
21,0,SAVED healthy|healthy on LEFT side,healthy|healthy,Doctor|Civilian,healthy|healthy,Doctor|Child,save,left,8,305,N,N
FINAL,0,🏆 FINAL SCORE: 351.0 points,,,,,game_end,,8,305,,
