Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,0,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Doctor|Child,corpse,Doctor,squish,left,0,715,N,N
2,0,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Child,save,left,2,685,N,N
3,0,SAVED healthy on LEFT side,healthy,Civilian,healthy,Militant,save,left,3,655,N,N
4,0,SQUISHED corpse on LEFT side,corpse,Doctor,zombie,Civilian,squish,left,3,650,N,N
5,0,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Civilian,injured,Doctor,squish,left,3,645,N,N
6,0,SQUISHED zombie on LEFT side,zombie,Police,injured,Civilian,squish,left,3,640,N,N
7,0,SQUISHED corpse on RIGHT side,healthy,Child,corpse,Doctor,squish,right,3,635,N,N
8,0,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Doctor,zombie,Civilian,squish,left,3,630,N,N
9,0,SAVED healthy|healthy on LEFT side,healthy|healthy,Child|Doctor,healthy,Doctor,save,left,5,600,N,N
10,0,"SCRAM - Left: healthy|healthy, Right: zombie",healthy|healthy,Police|Child,zombie,Civilian,scram,both,5,600,N,N
11,0,"SCRAM - Left: healthy|healthy, Right: zombie",healthy|healthy,Police|Child,zombie,Civilian,scram,both,0,480,N,N
12,0,SAVED healthy on LEFT side,healthy,Civilian,zombie,Civilian,save,left,1,450,N,N
13,0,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Civilian,corpse,Child,squish,left,1,445,N,N
14,0,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Child|Civilian,injured,Doctor,squish,left,1,440,N,N
15,0,SAVED healthy|healthy on LEFT side,healthy|healthy,Militant|Doctor,zombie,Child,save,left,2,410,N,N
16,0,SAVED healthy on LEFT side,healthy,Civilian,zombie,Child,save,left,3,380,N,N
17,0,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Child,squish,right,3,375,N,N
18,0,SQUISHED corpse on RIGHT side,healthy,Militant,corpse,Child,squish,right,3,370,N,N
19,0,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,4,340,N,N
20,0,SQUISHED injured|healthy on LEFT side,injured|healthy,Civilian|Doctor,healthy,Civilian,squish,left,4,335,N,N
21,0,SAVED healthy|healthy on LEFT side,healthy|healthy,Child|Police,zombie,Militant,save,left,6,305,N,N
FINAL,0,🏆 FINAL SCORE: 341.0 points,,,,,game_end,,6,305,,
