Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,0,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Child,healthy,Civilian,squish,left,0,715,N,N
2,0,SAVED healthy|healthy on LEFT side,healthy|healthy,Police|Child,healthy,Police,save,left,2,685,N,N
3,0,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Doctor|Child,healthy,Police,squish,left,2,680,N,N
4,0,SQUISHED corpse on LEFT side,corpse,Civilian,zombie,Doctor,squish,left,2,675,N,N
5,0,SQUISHED corpse on RIGHT side,corpse|healthy,Civilian|Militant,corpse,Civilian,squish,right,2,670,N,N
6,0,SQUISHED corpse on LEFT side,corpse,Civilian,zombie,Militant,squish,left,2,665,N,N
7,0,SAVED healthy|injured on LEFT side,healthy|injured,Child|Child,zombie,Child,save,left,3,635,N,N
8,0,SQUISHED zombie on LEFT side,zombie,Civilian,zombie,Civilian,squish,left,3,630,N,N
9,0,SAVED healthy on LEFT side,healthy,Civilian,zombie,Civilian,save,left,4,600,N,N
10,0,SAVED healthy on LEFT side,healthy,Police,healthy,Militant,save,left,5,570,N,N
11,0,SAVED healthy on LEFT side,healthy,Child,zombie,Child,save,left,6,540,N,N
12,0,SAVED healthy|healthy on LEFT side,healthy|healthy,Doctor|Civilian,healthy,Child,save,left,7,510,N,N
13,0,SAVED healthy on RIGHT side,corpse|zombie,Child|Civilian,healthy,Civilian,save,right,8,480,N,N
14,0,SAVED healthy on LEFT side,healthy,Child,healthy,Police,save,left,9,450,N,N
15,0,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Child,squish,left,9,445,N,N
16,0,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Civilian,squish,right,9,440,N,N
17,0,"SCRAM - Left: healthy|healthy, Right: injured",healthy|healthy,Child|Doctor,injured,Doctor,scram,both,9,440,N,N
18,0,"SCRAM - Left: healthy|healthy, Right: injured",healthy|healthy,Child|Doctor,injured,Doctor,scram,both,0,320,N,N
19,0,SQUISHED zombie on LEFT side,zombie,Civilian,injured,Civilian,squish,left,0,315,N,N
20,0,SAVED healthy on LEFT side,healthy,Civilian,healthy,Child,save,left,1,285,N,N
21,0,SAVED healthy on LEFT side,healthy,Child,healthy,Police,save,left,2,255,N,N
FINAL,0,🏆 FINAL SCORE: 341.0 points,,,,,game_end,,2,255,,
